id,response,label1,label2
37,This is most probably a result of the treatment that you're getting and we will need you to start on anti nausea medicine that works slightly better than what you're taking right now.,Trivial,Neither agree or disagree
42,Yes come in and let's take a look. you might be experiencing a reaction to your treatment.,Neutral,Agree
43,"We can try  adding compazine to Zofran, but let's touch base in clinic tomorrow before your treatment",Trivial,Disagree
45,"And this is possible, but you need to come in for labs.",Trivial,Disagree
49,"No, we need to check your blood work and make sure that your kidneys are working well",Trivial,Agree
50,"It's unlikely that the cancer is coming back, but I will need to do an examination first to see what's going on.",Trivial,Disagree
55,Yes I need you to go to the emergency room now,Neutral,Agree
58,Why don't you try taking ibuprofen and see if the pain response. this is likely the result of the treatment you got 9 months ago.,Neutral,Disagree
60,"yes this can happen from time to time. if it persists, why don't you give me a call and I'll see you in the clinic and we can do an examination and run some basic blood work.",Trivial,Disagree
65,this is likely a result of the treatment but you received. we will need to evaluate you.,Neutral,Neither agree or disagree
68,"I need you to go to the emergency room to get a special scan to look at your heart, lungs,  and blood vessels.",Trivial,Disagree
69,It's unclear at this point what's the cause of the cough maybe. why don't you come in and we can run some tests.,Neutral,Neither agree or disagree
73,It's unclear based on the information we have. I will need to evaluate you in clinic.,Neutral,Neither agree or disagree
74,This is probably a result of the treatment you got.,Neutral,Neither agree or disagree
79,This is most likely related to your previous treatment. I will need to see you in clinic to discuss further,Neutral,Neither agree or disagree
80,This may be related to your previous treatment. I will have you come into the clinic and we can do a chest x-ray to begin with.,Neutral,Neither agree or disagree
82,"Yes, why don't you come in for an evaluation and we can take it from there",Neutral,Neither agree or disagree
95,Yes we can go ahead and schedule an appointment so that I can take a look,Neutral,Neither agree or disagree
96,yes I'll see you in clinic and I'll have the front office reach out to you.,Neutral,Neither agree or disagree
99,"Yes, you should absolutely come in for an exam and some basic testing so that we can see what’s going on?",Neutral,Agree
